chromosome,start,stop,accession
CM020578.1,60594585,62595499,GCA_009829155.1
CM039289.1,11156695,13349373,GCA_022355385.1
CM039291.1,53632024,55761104,GCA_022355385.1
CM039289.1,60722428,62723342,GCA_022355385.1
CM039297.1,6267308,8268204,GCA_022355385.1
CM029922.1,18411175,20412125,GCA_017639245.1
LR597570.1,31213802,33224881,GCA_902150065.1
LR597558.1,10461111,12462088,GCA_902150065.1
CM033851.2,37798687,39813608,GCA_019703515.2
CM033852.2,38327128,40343045,GCA_019703515.2
CM033852.2,23338490,25339413,GCA_019703515.2
CM033865.2,24600209,26601201,GCA_019703515.2
CM033865.2,4525094,6526068,GCA_019703515.2
CM033874.2,38827708,40828682,GCA_019703515.2
CM052806.1,80659105,83724912,GCA_028533885.1
CM052807.1,42384802,44477886,GCA_028533885.1
CM052806.1,36288147,38289073,GCA_028533885.1
CM052809.1,130855355,132856251,GCA_028533885.1
CM029740.1,30940805,32941794,GCA_014905685.2
CM029745.1,15276733,17277674,GCA_014905685.2
CM050628.1,21045775,23046713,GCA_027579695.1
CM050628.1,71467173,73468126,GCA_027579695.1
CM050629.1,34807644,36808651,GCA_027579695.1
CM051602.1,12373839,14384735,GCA_028018385.1
CM051606.1,96161307,98316802,GCA_028018385.1
CM051599.1,6601645,8602541,GCA_028018385.1
CM051602.1,11348117,13348995,GCA_028018385.1
CM051602.1,63122350,65123276,GCA_028018385.1
CM035033.1,217887747,220963910,GCA_020171115.1
CM035041.1,54023808,56157762,GCA_020171115.1
CM035030.1,308667989,310668885,GCA_020171115.1
CM035033.1,168445291,170446205,GCA_020171115.1
CM035901.1,92006759,94068139,GCA_002201575.2
CM035908.1,92298611,94299561,GCA_002201575.2
LR738549.1,15663977,17680984,GCA_902685375.1
LR738545.1,16007455,18008414,GCA_902685375.1
CM021765.1,79838789,81839733,GCA_011076525.1
CM021767.1,111838875,113839828,GCA_011076525.1
CM024796.1,10334855,12338776,GCA_014281875.1
CM024801.1,24090463,26091437,GCA_014281875.1
CM041724.1,14921921,16925702,GCA_023373845.1
CM041722.1,7031769,9032740,GCA_023373845.1
CM041737.1,24203722,26204696,GCA_023373845.1
CM016957.1,89780051,91959665,GCA_006542625.1
CM016957.1,91148946,93450107,GCA_006542625.1
CM016967.1,21542051,23730300,GCA_006542625.1
CM016950.1,7784626,9785525,GCA_006542625.1
CM016955.1,32963871,34964782,GCA_006542625.1
CM016957.1,71135446,73136408,GCA_006542625.1
CM051814.1,61284125,63575144,GCA_028372415.1
CM051815.1,103507064,106113169,GCA_028372415.1
CM051815.1,106093911,108267516,GCA_028372415.1
CM051817.1,405965,2536909,GCA_028372415.1
CM051818.1,221839319,223863270,GCA_028372415.1
CM051815.1,4938895,6939806,GCA_028372415.1
CM051816.1,357785954,359786889,GCA_028372415.1
LN609386.1,8197010,10197987,GCA_001465895.2
CM019780.1,19564518,21567773,GCA_009762535.1
CM019779.1,26665837,28666814,GCA_009762535.1
CM019779.1,0,1514175,GCA_009762535.1
OX449112.1,75135140,77136156,GCA_949606895.1
OX449116.1,15241770,17242744,GCA_949606895.1
CM007814.2,188079230,190080474,GCA_002078875.2
CM007816.2,110002027,112003514,GCA_002078875.2
CM023732.1,125731410,127740484,GCA_013368605.1
CM023733.1,120496132,122497079,GCA_013368605.1
CM043618.1,13128119,15430980,GCA_023898255.1
CM043618.1,14509434,16643085,GCA_023898255.1
CM043622.1,63000374,65409628,GCA_023898255.1
CM043610.1,188022620,190023519,GCA_023898255.1
CM043618.1,33031854,35032759,GCA_023898255.1
CM043618.1,80090540,82091451,GCA_023898255.1
CM050147.1,111613762,113746436,GCA_027406575.1
CM050147.1,112822211,115201590,GCA_027406575.1
CM050148.1,47210526,49615142,GCA_027406575.1
CM050137.1,187745662,189746561,GCA_027406575.1
CM050147.1,46424329,48425240,GCA_027406575.1
CM050147.1,93392630,95393535,GCA_027406575.1
CM025751.1,498785,3651689,GCA_014633375.1
CM025752.1,18889374,21032038,GCA_014633375.1
CM025730.1,26332883,28333779,GCA_014633375.1
CM025731.1,33647645,35648559,GCA_014633375.1
CM025751.1,24009938,26010831,GCA_014633375.1
CM037421.1,11428882,13429835,GCA_020976825.1
CM037421.1,11643688,13696304,GCA_020976825.1
CM037421.1,12777130,14961814,GCA_020976825.1
CM037442.1,35936742,38140055,GCA_020976825.1
CM037421.1,29645088,31646077,GCA_020976825.1
CM037421.1,4426825,6427775,GCA_020976825.1
CM037421.1,92664726,94665634,GCA_020976825.1
CM037434.1,6963235,8964131,GCA_020976825.1
CM042915.1,11026371,13293178,GCA_023699985.2
CM042915.1,12331235,14517870,GCA_023699985.2
CM042937.1,15870404,18077206,GCA_023699985.2
CM042915.1,29199273,31200262,GCA_023699985.2
CM042915.1,90874958,92875866,GCA_023699985.2
CM042928.1,6958331,8959227,GCA_023699985.2
CM051319.1,32814804,34815781,GCA_027942865.1
CM051325.1,24597261,26598223,GCA_027942865.1
CM055916.1,4383541,6423321,GCA_029582105.1
CM055913.1,26559229,28560164,GCA_029582105.1
CM055913.1,30627330,32628295,GCA_029582105.1
CM044312.1,10980497,14158927,GCA_024291935.2
CM044320.1,17996242,20120134,GCA_024291935.2
CM044312.1,28321252,30322241,GCA_024291935.2
CM044312.1,89934226,91935131,GCA_024291935.2
CM044313.1,99714509,101715408,GCA_024291935.2
CM037757.1,70962333,73035516,GCA_021184085.1
JAGYUW010003728.1,0,1506972,GCA_021184085.1
CM037752.1,56356169,58357146,GCA_021184085.1
CM037752.1,60687100,62688065,GCA_021184085.1
CM037757.1,37922638,39923582,GCA_021184085.1
CM041654.1,30791429,32811703,GCA_023373465.1
CM041683.1,25698034,27768859,GCA_023373465.1
CM041663.1,24415999,26416964,GCA_023373465.1
CM041663.1,28584015,30584992,GCA_023373465.1
CM041669.1,7341728,9342672,GCA_023373465.1
JAJNGS010002880.1,0,1071896,GCA_023373465.1
CM007719.2,53677541,55761513,GCA_002021735.2
ML762283.1,7340692,9382552,GCA_002021735.2
CM007720.2,21781858,23782823,GCA_002021735.2
CM007720.2,25937792,27938769,GCA_002021735.2
CM007731.2,54256996,56257940,GCA_002021735.2
CM007734.2,33518074,35519018,GCA_002021735.2
CM007743.2,40867083,42868030,GCA_002021735.2
CM023221.2,59472233,61544853,GCA_013265735.3
CM023230.2,90383770,92419727,GCA_013265735.3
CM023231.2,60913360,62945360,GCA_013265735.3
CM023240.2,40784772,43409621,GCA_013265735.3
CM023224.2,21758636,23759781,GCA_013265735.3
CM023224.2,25821267,27822244,GCA_013265735.3
CM023236.2,38393609,40394553,GCA_013265735.3
CM025859.1,33107447,35108391,GCA_013265735.3
CM016829.1,37771654,40403977,GCA_006149115.2
CM016850.1,45982211,48008785,GCA_006149115.2
CM016848.1,11598632,13599597,GCA_006149115.2
CM016848.1,15546657,17547634,GCA_006149115.2
CM016851.1,43774891,45775829,GCA_006149115.2
CM016854.1,17332162,19333106,GCA_006149115.2
SZNR01017995.1,0,1004037,GCA_006149115.2
CM031201.1,54174770,56257642,GCA_018296145.1
CM031224.1,42658075,45272321,GCA_018296145.1
JAEPEU010005174.1,0,1093894,GCA_018296145.1
CM031202.1,22107095,24108060,GCA_018296145.1
CM031202.1,26135160,28136137,GCA_018296145.1
CM031211.1,34916089,36917033,GCA_018296145.1
CM031229.1,6601335,8602279,GCA_018296145.1
JAEPEU010003943.1,0,1055098,GCA_018296145.1
OX460349.1,148977637,150978575,GCA_949786405.1
OX460349.1,53281742,55373989,GCA_949786405.1
OX460349.1,54523704,56805092,GCA_949786405.1
OX460349.1,148999375,151893273,GCA_949786405.1
OX460349.1,26986728,28987636,GCA_949786405.1
OX460349.1,36707437,38708318,GCA_949786405.1
OX460350.1,29041694,31042587,GCA_949786405.1
OX460361.1,68983449,70984354,GCA_949786405.1
OX460420.1,149580747,151581685,GCA_949786385.1
OX460420.1,53545235,55637990,GCA_949786385.1
OX460420.1,54767720,57048628,GCA_949786385.1
OX460420.1,149605073,152479611,GCA_949786385.1
OX460420.1,27308700,29309608,GCA_949786385.1
OX460420.1,37031658,39032644,GCA_949786385.1
OX460421.1,28360141,30361034,GCA_949786385.1
OX460432.1,69592328,71593233,GCA_949786385.1
CAJFAA010002074.1,0,1380669,GCA_903995425.1
LR877190.1,27183173,29400074,GCA_903995425.1
LR877190.1,28523941,30615662,GCA_903995425.1
LR877190.1,143426685,145890476,GCA_903995425.1
LR877190.1,45091754,47092740,GCA_903995425.1
LR877190.1,54770434,56771342,GCA_903995425.1
LR877191.1,28078053,30078946,GCA_903995425.1
LR877202.1,69230928,71231833,GCA_903995425.1
CM022817.1,11296221,13297186,GCA_012432095.1
CM022817.1,24179389,26180372,GCA_012432095.1
CM022818.1,9402324,11403271,GCA_012432095.1
CM022818.1,16060248,18061171,GCA_012432095.1
CM023642.1,27388193,29389137,GCA_013358895.1
CM007493.2,9095348,11096301,GCA_001858045.3
CM014212.1,36537979,38672944,GCA_004115215.4
CM014201.1,170365488,172366705,GCA_004115215.4
CM028938.1,163620655,165885581,GCA_009806435.2
VIYN02003057.1,400606,2410985,GCA_009806435.2
VIYN02003076.1,0,1713431,GCA_009806435.2
CM028938.1,150917761,152918654,GCA_009806435.2
CM028941.1,22668084,24668995,GCA_009806435.2
CM028942.1,2316724,4317638,GCA_009806435.2
CM043714.1,12871906,14872991,GCA_023969325.1
CM012445.1,22140943,24141917,GCA_003999625.1
CP020673.1,19848938,21849915,GCA_002234675.1
CM022587.1,25771103,27772077,GCA_002922805.2
CM048554.1,119147490,121159891,GCA_026413225.1
CM048552.1,209648664,211649575,GCA_026413225.1
CM048552.1,84743153,86744079,GCA_026413225.1
CM053299.1,20873031,23096938,GCA_028583565.1
CM053303.1,12759602,15065570,GCA_028583565.1
CM053303.1,14237497,16403440,GCA_028583565.1
CM053303.1,99463339,101464334,GCA_028583565.1
CM053303.1,31859125,33860114,GCA_028583565.1
CM053312.1,62711211,64712101,GCA_028583565.1
CM028706.1,203255760,205477104,GCA_016772045.1
CM028707.1,105443163,107616754,GCA_016772045.1
CM028707.1,106792054,109098203,GCA_016772045.1
CM028707.1,20468718,22469713,GCA_016772045.1
CM028707.1,88013292,90014281,GCA_016772045.1
CM028719.1,62653793,64654683,GCA_016772045.1
CP011888.1,202697131,204895330,GCA_001039535.1
CP011889.1,103908090,106072486,GCA_001039535.1
CP011889.1,105124368,107402170,GCA_001039535.1
CP011889.1,19593439,21594434,GCA_001039535.1
CP011889.1,86512411,88513400,GCA_001039535.1
CP011901.1,62452517,64453407,GCA_001039535.1
CM025416.1,204636396,206859868,GCA_014523465.1
CM025417.1,12518462,14824531,GCA_014523465.1
CM025417.1,13986381,16156217,GCA_014523465.1
CM025417.1,99314269,101315264,GCA_014523465.1
CM025417.1,31591710,33592699,GCA_014523465.1
CM025429.1,63105998,65106888,GCA_014523465.1
CM021799.1,199632182,201633114,GCA_011077185.1
CM021799.1,79338590,81339534,GCA_011077185.1
CM021801.1,111438757,113439710,GCA_011077185.1
CM053761.1,13296124,15736051,GCA_028658305.1
CM053763.1,3087742,5305499,GCA_028658305.1
CM053763.1,4308580,6374995,GCA_028658305.1
JAQQSO010007451.1,0,1007446,GCA_028658305.1
CM053743.1,72760481,74761437,GCA_028658305.1
CM053752.1,88062263,90063213,GCA_028658305.1
CM053763.1,25406872,27407891,GCA_028658305.1
CM053763.1,33844743,35845693,GCA_028658305.1
CM051494.1,24740238,26741305,GCA_028031935.1
CM051498.1,20022643,22023635,GCA_028031935.1
CM051498.1,26977238,28978203,GCA_028031935.1
CM055479.1,29563243,31764765,GCA_029289425.1
CM055479.1,31046404,33341972,GCA_029289425.1
CM055484.1,15269863,17599785,GCA_029289425.1
CM055477.1,7017826,9018725,GCA_029289425.1
CM055479.1,10875120,12876082,GCA_029289425.1
CM055479.1,64691521,66692432,GCA_029289425.1
CM054441.1,150193596,152220593,GCA_028858775.1
CM054441.1,151657148,153952781,GCA_028858775.1
CM054446.1,15574060,17992386,GCA_028858775.1
CM054441.1,131467995,133468957,GCA_028858775.1
CM054441.1,15091249,17092160,GCA_028858775.1
CM040458.1,20351482,22352414,GCA_022758105.1
CM040458.1,20354516,22368653,GCA_022758105.1
CM040458.1,2913604,4914542,GCA_022758105.1
CM040461.1,16824335,18825309,GCA_022758105.1
CM040483.1,5431809,7432729,GCA_022758105.1
CM050111.1,20685356,22686285,GCA_027358585.1
CM050111.1,20688330,22689256,GCA_027358585.1
CM050111.1,3526177,5527115,GCA_027358585.1
CM050114.1,16865480,18866454,GCA_027358585.1
CM050136.1,7294278,9295198,GCA_027358585.1
CM040979.1,19819574,21820653,GCA_022985145.1
CM040979.1,19822563,21828685,GCA_022985145.1
CM040979.1,2781791,4782729,GCA_022985145.1
CM040982.1,16284137,18285111,GCA_022985145.1
CM041004.1,4453108,6454028,GCA_022985145.1
CM031451.1,153681541,156714688,GCA_018350215.1
CM031456.1,43854918,46006798,GCA_018350215.1
CM031450.1,230350799,232351695,GCA_018350215.1
CM031451.1,103450372,105451298,GCA_018350215.1
CM053123.1,143896963,145897952,GCA_028533385.1
CM053123.1,143906418,146763415,GCA_028533385.1
CM053132.1,89026093,91177433,GCA_028533385.1
CM053123.1,96225766,98226692,GCA_028533385.1
CM053124.1,6052978,8053874,GCA_028533385.1
CM031432.1,153660346,156659111,GCA_018350195.2
CM031437.1,43729967,45882635,GCA_018350195.2
CM031431.1,229692145,231693041,GCA_018350195.2
CM031432.1,103578638,105579564,GCA_018350195.2
CM043157.1,149434917,152336632,GCA_023721935.1
CM043162.1,42803663,44945760,GCA_023721935.1
CM043157.1,100313481,102314407,GCA_023721935.1
JAJAOB010000017.1,144131963,146132859,GCA_023721935.1
CM018183.2,14060032,16385617,GCA_008728515.2
CM018183.2,15701618,17863298,GCA_008728515.2
CM018188.1,7067048,9235849,GCA_008728515.2
CM018188.1,9623888,11855002,GCA_008728515.2
CM018183.2,34594555,36595430,GCA_008728515.2
CM018183.2,81571746,83572594,GCA_008728515.2
CM018184.2,7723523,9724422,GCA_008728515.2
VSMJ02003825.1,0,1006851,GCA_008728515.2
CM053421.1,150393257,152546108,GCA_028645565.1
CM053421.1,151695493,154005126,GCA_028645565.1
CM053428.1,102846146,105013671,GCA_028645565.1
CM053428.1,105204236,107372340,GCA_028645565.1
CM053421.1,133189853,135190728,GCA_028645565.1
CM053421.1,90009529,92010443,GCA_028645565.1
JAQQSL010001667.1,0,1012918,GCA_028645565.1
JAQQSL010001990.1,0,1007780,GCA_028645565.1
JAQQSL010011247.1,0,1006431,GCA_028645565.1
JAQQSL010020393.1,0,1004883,GCA_028645565.1
JAQQSL010028410.1,0,1001592,GCA_028645565.1
JAQQSL010051690.1,0,1001338,GCA_028645565.1
CM031950.1,14739357,16740322,GCA_018749465.1
CM031950.1,3067367,5068347,GCA_018749465.1
CM031951.1,18437756,20438676,GCA_018749465.1
CM007779.1,20428353,22429327,GCA_001904815.2
LR131972.1,7574569,9575570,GCA_900634625.2
LR131981.1,943173,2944141,GCA_900634625.2
CM003709.1,85715366,87724007,GCA_001522545.3
CM003709.1,81800249,83801211,GCA_001522545.3
MBAE01000271.1,0,1242792,GCA_001700915.1
CM004530.1,106416840,108417793,GCA_001700915.1
CM014939.1,9936700,11937677,GCA_004354835.1
CM046791.1,28013709,30014686,GCA_025617405.1
CM046797.1,12606849,14607874,GCA_025617405.1
CM020611.1,21657301,23661848,GCA_009829125.3
CM020599.1,16020939,18021925,GCA_009829125.3
CM041265.1,143748170,146984425,GCA_023159225.1
CM041290.1,4025809,6157546,GCA_023159225.1
CM041265.1,123028067,125028978,GCA_023159225.1
CM041265.1,130132485,132133390,GCA_023159225.1
CM041282.1,3732682,5733656,GCA_023159225.1
OX460396.1,139797172,141798110,GCA_949786415.1
OX460396.1,50758767,52846249,GCA_949786415.1
OX460396.1,52064626,54338062,GCA_949786415.1
OX460396.1,139820490,142647723,GCA_949786415.1
OX460396.1,25182187,27183206,GCA_949786415.1
OX460396.1,34760556,36761581,GCA_949786415.1
OX460397.1,29791569,31792462,GCA_949786415.1
OX460405.1,6576048,8576962,GCA_949786415.1
CM026043.1,44320822,46590915,GCA_004664715.2
CM026043.1,46036963,48040847,GCA_004664715.2
CM026043.1,138870185,141619315,GCA_004664715.2
CM026043.1,12747238,14748146,GCA_004664715.2
CM026043.1,3012976,5013857,GCA_004664715.2
CM026044.1,28273391,30274284,GCA_004664715.2
CM026050.1,849000,2850175,GCA_004664715.2
CM010881.2,143063506,145064444,GCA_003704035.3
CM010881.2,52989496,55073770,GCA_003704035.3
CM010881.2,54432330,56699023,GCA_003704035.3
CM010881.2,143112953,145711480,GCA_003704035.3
ML112672.1,0,1158609,GCA_003704035.3
CM010881.2,13450656,15451567,GCA_003704035.3
CM010881.2,23328954,25329985,GCA_003704035.3
CM010882.2,28392314,30393207,GCA_003704035.3
CM010893.2,7037729,9038652,GCA_003704035.3
CM010905.1,55765572,57849901,GCA_003704135.2
CM010905.1,57106615,59380015,GCA_003704135.2
CM010905.1,150542699,153437313,GCA_003704135.2
CM010905.1,143913012,145913950,GCA_003704135.2
CM010905.1,16334164,18335195,GCA_003704135.2
CM010905.1,5953645,7954553,GCA_003704135.2
CM010906.2,31875958,33876851,GCA_003704135.2
CM010917.1,7340610,9341533,GCA_003704135.2
CM029258.1,63866455,65992727,GCA_016906955.1
CM029267.1,5785128,9152578,GCA_016906955.1
CM029252.1,6195839,8196738,GCA_016906955.1
CM029267.1,23236862,25237764,GCA_016906955.1
CM029267.1,4578559,6579680,GCA_016906955.1
OX451224.1,5936896,7937849,GCA_949628215.1
CM053623.1,79774580,82230164,GCA_028646595.1
CM053623.1,81456253,83717548,GCA_028646595.1
CM053627.1,1215968,3464891,GCA_028646595.1
CM053623.1,2848151,4849062,GCA_028646595.1
CM053626.1,120075092,122075910,GCA_028646595.1
CM053626.1,39933611,41934543,GCA_028646595.1
CM053627.1,7445975,9446904,GCA_028646595.1
JAQQSZ010000127.1,0,1013096,GCA_028646595.1
JAQQSZ010007098.1,0,1006858,GCA_028646595.1
JAQQSZ010007958.1,0,1007397,GCA_028646595.1
JAQQSZ010012010.1,0,1003735,GCA_028646595.1
JAQQSZ010012429.1,0,1009827,GCA_028646595.1
JAQQSZ010022396.1,0,1009388,GCA_028646595.1
JAQQSZ010022951.1,0,1003945,GCA_028646595.1
JAQQSZ010030506.1,0,1003652,GCA_028646595.1
JAQQSZ010048124.1,0,1004582,GCA_028646595.1
JAQQSZ010048786.1,0,1002429,GCA_028646595.1
JAQQSZ010051913.1,0,1004957,GCA_028646595.1
JAQQSZ010056851.1,0,1003399,GCA_028646595.1
JAQQSZ010079532.1,0,1001682,GCA_028646595.1
JAQQSZ010094884.1,0,1001826,GCA_028646595.1
JAQQSZ010094906.1,0,1001026,GCA_028646595.1
CM043858.1,110216654,112660230,GCA_023856395.1
JAJQIY010003985.1,142368082,145497329,GCA_023856395.1
CM043853.1,172419232,174420125,GCA_023856395.1
JAJQIY010003985.1,105091588,107092628,GCA_023856395.1
JAJQIY010003985.1,113551208,115552113,GCA_023856395.1
JAJQIY010003985.1,43456800,45457714,GCA_023856395.1
CM020217.1,120792898,122793851,GCA_009819775.1
CM035838.1,142324826,144325809,GCA_020510985.1
CM035843.1,28938339,30939304,GCA_020510985.1
OU342815.1,15202214,17213200,GCA_910591455.2
OU342808.1,17520474,19521451,GCA_910591455.2
OX424415.1,19936084,21937022,GCA_949152265.1
OX424423.1,17221757,19222806,GCA_949152265.1
OX424423.1,30017847,32018824,GCA_949152265.1
CM034703.1,129703626,131958285,GCA_020142125.1
CM034703.1,258060556,260131417,GCA_020142125.1
CM034703.1,255380299,257381210,GCA_020142125.1
CM034708.1,5618981,7619913,GCA_020142125.1
CM034716.1,7413506,9414570,GCA_020142125.1
CM044834.1,28759369,30760349,GCA_024500275.1
CM034183.1,8662341,10663321,GCA_019802545.1
CM014255.2,190159213,192346142,GCA_004126475.3
CM014263.2,84231892,87345855,GCA_004126475.3
CM014256.2,27249937,29250845,GCA_004126475.3
CM014263.2,21751591,23752496,GCA_004126475.3
CM014263.2,69382978,71383883,GCA_004126475.3
CM014790.1,59358245,61359171,GCA_002837175.5
CM019247.1,129915457,131940995,GCA_002776525.5
CM019247.1,131268608,133589828,GCA_002776525.5
CM019249.1,7568225,9701589,GCA_002776525.5
CM019249.1,10249702,12364656,GCA_002776525.5
CM019243.1,7985051,9985950,GCA_002776525.5
CM019247.1,67565955,69566869,GCA_002776525.5
PDMG03000063.1,1431933,3432808,GCA_002776525.5
PDMG03000402.1,0,1004270,GCA_002776525.5
PDMG03025103.1,0,1007550,GCA_002776525.5
LR862358.1,19551063,21766855,GCA_903992545.1
LR862366.1,11718292,13864489,GCA_903992545.1
LR862366.1,25328068,28215098,GCA_903992545.1
LR862360.1,90106837,92107736,GCA_903992545.1
LR862366.1,36600183,38601085,GCA_903992545.1
CM052630.1,8074895,10371232,GCA_028551515.1
CM052632.1,94186541,97425917,GCA_028551515.1
CM052624.1,7244631,9245530,GCA_028551515.1
CM052632.1,36009407,38010315,GCA_028551515.1
CM052632.1,77563038,79563916,GCA_028551515.1
JAPYXZ010004489.1,0,1002420,GCA_028551515.1
JAPYXZ010005597.1,0,1003407,GCA_028551515.1
OX438728.1,9714372,11722144,GCA_949316205.1
OX438718.1,19205832,21206815,GCA_949316205.1
CM028877.1,10050082,12057891,GCA_016801935.1
CM028867.1,20016464,22017447,GCA_016801935.1
CM018417.2,12398190,14401532,GCA_008729295.2
CM018413.2,34299520,36300482,GCA_008729295.2
CM018413.2,8765876,10766853,GCA_008729295.2
Iberian_ribbed_newt_11_aa,11777811,13862699,GCA_026652325.1
Iberian_ribbed_newt_11_aa,16275842,18348290,GCA_026652325.1
Iberian_ribbed_newt_11_aa,24425984,26571855,GCA_026652325.1
Iberian_ribbed_newt_11_aa,28126305,30187647,GCA_026652325.1
Iberian_ribbed_newt_11_aa,32378386,34746573,GCA_026652325.1
Iberian_ribbed_newt_11_aa,73480759,76101444,GCA_026652325.1
Iberian_ribbed_newt_11_aa,84134698,86185636,GCA_026652325.1
Iberian_ribbed_newt_11_ab,43098055,45629435,GCA_026652325.1
Iberian_ribbed_newt_11_ab,55347319,58112330,GCA_026652325.1
Iberian_ribbed_newt_15_aa,48252583,50953842,GCA_026652325.1
Iberian_ribbed_newt_15_aa,52348568,54483524,GCA_026652325.1
Iberian_ribbed_newt_3_aa,140168335,142458461,GCA_026652325.1
Iberian_ribbed_newt_9_ab,239801441,242221335,GCA_026652325.1
Iberian_ribbed_newt_10_aa,423675836,425676759,GCA_026652325.1
Iberian_ribbed_newt_10_ab,197446393,199447358,GCA_026652325.1
Iberian_ribbed_newt_11_aa,13773923,15774897,GCA_026652325.1
Iberian_ribbed_newt_11_aa,21609595,23611031,GCA_026652325.1
Iberian_ribbed_newt_11_aa,63763204,65764118,GCA_026652325.1
Iberian_ribbed_newt_11_aa,69239458,71240411,GCA_026652325.1
Iberian_ribbed_newt_11_ab,72185902,74186831,GCA_026652325.1
Iberian_ribbed_newt_11_ab,75991863,77992831,GCA_026652325.1
Iberian_ribbed_newt_11_ab,83168128,85169057,GCA_026652325.1
Iberian_ribbed_newt_12_ac,108137125,110138093,GCA_026652325.1
Iberian_ribbed_newt_12_ac,476964140,478965090,GCA_026652325.1
Iberian_ribbed_newt_15_ab,286380081,288381025,GCA_026652325.1
Iberian_ribbed_newt_5_ab,498568518,500569465,GCA_026652325.1
Iberian_ribbed_newt_9_ac,1505310,3506368,GCA_026652325.1
Iberian_ribbed_newt_9_ad,243232043,245232969,GCA_026652325.1
Iberian_ribbed_newt_9_ad,256110961,258111875,GCA_026652325.1
OX374651.1,9218160,11219143,GCA_947347685.1
OX374661.1,13792064,15793023,GCA_947347685.1
CM045729.1,43671903,45672838,GCA_024760905.1
CM045729.1,89888209,91889162,GCA_024760905.1
CM045731.1,18915365,20916282,GCA_024760905.1
CM045749.1,29493679,31494653,GCA_024760905.1
CM030009.1,122269331,124285154,GCA_017639485.1
CM030007.1,134579882,136580817,GCA_017639485.1
CM030007.1,5758745,7759692,GCA_017639485.1
CM014744.1,70171899,72201031,GCA_004329235.1
CM014746.1,11262626,13268814,GCA_004329235.1
CM014759.1,3210965,5419096,GCA_004329235.1
CM014745.1,180936,2182117,GCA_004329235.1
CM014759.1,8195902,10196918,GCA_004329235.1
CM049751.1,71558176,73578974,GCA_027172205.1
CM049753.1,12268790,14274327,GCA_027172205.1
CM049766.1,3082603,5234109,GCA_027172205.1
CM049752.1,548040,2549134,GCA_027172205.1
CM049766.1,7777310,9778326,GCA_027172205.1
CM051619.1,5351508,7352461,GCA_028020825.1
CM051622.1,4508249,6509169,GCA_028020825.1
CM022157.1,68194464,70195426,GCA_011421415.1
CM022157.1,85018390,87019325,GCA_011421415.1
JAAMOC010000568.1,7455559,9456521,GCA_011421415.1
CM022988.2,23326103,25327089,GCA_013036085.2
CM002707.1,34291117,36292031,GCA_000633615.2
CM002714.1,6837127,8838104,GCA_000633615.2
CM026782.1,4672856,6695454,GCA_015220805.1
CM026778.1,3105890,5106825,GCA_015220805.1
CM053247.1,27609262,29610236,GCA_028583405.1
CM053254.1,17334707,19335735,GCA_028583405.1
OX465126.1,39882643,41918327,GCA_949987615.1
CM028912.1,12446918,14456278,GCA_016801845.1
CM028915.1,3474951,5475928,GCA_016801845.1
CM030271.1,23317991,25328294,GCA_017654505.1
CM030251.1,11011901,13012911,GCA_017654505.1
CM030261.1,10279909,12280838,GCA_017654505.1
CM030266.1,25392198,27393157,GCA_017654505.1
CM030267.1,9197989,11198906,GCA_017654505.1
CM030280.1,1918076,3919035,GCA_017654505.1
CM030286.1,1575642,3576640,GCA_017654505.1
CM029072.1,23158242,25159174,GCA_016835505.1
CM054686.1,131976823,134179455,GCA_028885655.1
CM054686.1,133646971,135877297,GCA_028885655.1
CM054691.1,10291077,12769986,GCA_028885655.1
CM054684.1,8714644,10715543,GCA_028885655.1
CM054686.1,113123213,115124175,GCA_028885655.1
CM054686.1,65555703,67556614,GCA_028885655.1
CM054637.1,139710353,141912682,GCA_028885625.1
CM054637.1,141424369,143695087,GCA_028885625.1
CM054642.1,10005330,12539626,GCA_028885625.1
CM054635.1,8718607,10719506,GCA_028885625.1
CM054637.1,120895894,122896922,GCA_028885625.1
CM054637.1,73291143,75292054,GCA_028885625.1
CM036905.1,215577931,217578875,GCA_020800305.1
CM036907.1,119101833,121102786,GCA_020800305.1
CM052887.1,82288753,85271056,GCA_028534135.1
CM052897.1,83154146,85226915,GCA_028534135.1
JAPYYM010001286.1,0,1010409,GCA_028534135.1
CM052887.1,37313580,39314614,GCA_028534135.1
CM052895.1,126771440,128772333,GCA_028534135.1
CM037521.1,3561254,5575233,GCA_021018805.1
CM037522.1,3408015,5451962,GCA_021018805.1
CM037521.1,54818957,56819922,GCA_021018805.1
CM028180.1,154635895,157664989,GCA_016509475.2
CM028185.1,44156065,46312052,GCA_016509475.2
CM028179.1,232261235,234262131,GCA_016509475.2
CM028180.1,103987531,105988457,GCA_016509475.2
CM040868.1,155655429,158668991,GCA_022837055.1
CM040878.1,41225027,43380146,GCA_022837055.1
CM040862.1,232420855,234421751,GCA_022837055.1
CM040868.1,104998740,106999666,GCA_022837055.1
CM053611.1,34054384,36064388,GCA_028646535.1
CM053614.1,6753715,9739633,GCA_028646535.1
JAQQSY010000127.1,0,1035270,GCA_028646535.1
CM053607.1,3635261,5636154,GCA_028646535.1
JAQQSY010010149.1,0,1001930,GCA_028646535.1
CM038345.1,21972019,23972954,GCA_021464625.1
CM053985.1,24861486,26862460,GCA_028641955.1
CM053986.1,15001505,17002563,GCA_028641955.1
CM053987.1,17300985,19301956,GCA_028641955.1
West_African_lungfish_11_aa,109076782,111244293,GCA_019279795.1
